,書名,類別,字數,大綱,狀態,評分
433,惡役大小姐的執事大人 破滅旗幟...,穿越 校園 戀愛 大小姐,43.5萬,找回前世記憶的西里爾發現自己是乙女遊戲登場人物——惡役大小姐索菲亞的執事。 如果這樣下去，因王子被女主奪走的索菲亞會黑...,完結,9
434,彈珠汽水瓶里的千歲同學,校園 青春 戀愛 競技 歡樂向 後宮,113萬,「五班的千歲朔是亂玩女人的渣男」──就算在學校匿名網站備受攻擊，依然君臨藤志高中階級制度頂層的現充，千歲朔。他身邊總是...,連載,9.5
435,異世界混浴物語,穿越 奇幻 冒險 歡樂向 後宮,11.3萬,為了打倒魔王而召喚出來五名勇者! 但是給予北條冬夜的勇者之力是「無限浴室」!? 能用於戰鬥嗎這樣!?該如何用這樣的力量打倒...,連載,10
436,野蠻獠牙大小姐,穿越 奇幻 魔法 戰爭 大小姐,10.8萬,公爵家千金米蓮，擁有一頭證明自己為「神選之人」、清爽亮麗的頭髮，還身懷究極的魔力。這位王國唯一，優雅地飄逸著秀髮，楚...,連載,9.8
437,毒咖啡事件,懸疑 女性視角,9.4萬,暴風雨之夜，「死亡」造訪了這個家庭……兩個極為相似的死亡現場中隱藏著怎樣的真相？！ 12年前，箕輪家的長子·要，在自己的房...,完結,9.7
438,圓環,冒險 戰鬥 魔法,12.5萬,重複了成千上萬次的輪迴。 直到何時，人類才能迎來得到救贖的一天。 新的圓環再次形成，分成十份降臨於世上。 這次，他們...,連載,9.7
439,只有我能看見的青梅竹馬,校園 治癒 戀愛 青梅竹馬,39.4萬,嵐，西城外國語中學普通的高二學生。 「我要你幫我個忙，讓十個人獲得幸福。」 死去的青梅竹馬突然造訪他的房間，毫不客氣...,連載,9.6
440,打造魔王大人的城鎮！～近代都...,奇幻 戰鬥 歡樂向 後宮 人外 女兒,86.5萬,創造出惡魔和魔物並統御之，創造出兇險的迷宮並君臨其上，持有壓倒性的特殊技能被選中的存在…那就是魔王！ 魔王創造出迷宮...,完結,9.7
441,CARNEADES,奇幻 戰鬥 懸疑 冒險 ,8.1萬,一個月圓之夜。 懦弱的惡魔伊芙為了填飽肚子，準備獲取人類的恐懼心。 此時天使警察菁英——艾露出現。 伊芙多次被捕卻又逃...,連載,10
442,因為貌似會被解除婚約拋棄，就...,戀愛 大小姐 女性視角,9.3萬,千金瑟雷絲蒂亞，從自稱「女主角」的義妹口中聽到了預言。 「義姐大人會被解除婚約，遭義父大人拋棄，最後送到修道院去。...,連載,10
443,精靈使的劍舞,校園 奇幻 戰鬥 後宮 大小姐,199.1萬,僅限冰清玉潔少女的特權----精靈契約。阿蕾西婭精靈學院、貴族大小姐們匯聚於此，進行著作為精靈使應受的訓練，接受精英教育...,完結,9.9
444,冰菓（漫畫）,校園 懸疑 青春 戀愛,0.1萬,對於任何事都並不積極，並信奉節能主義的高校生折木奉太郎，在姊姊的折木供恵的勸誘下加入了神山高校的古典部。並且與在那裡...,連載,9.9
445,不死偵探·冷堂紅葉,校園 懸疑 青春,5.5萬,七月■日，神秘的美少女·冷堂紅葉轉校入學的那個夏日。 她的同班同學在一起密室殺人案中被殺害了。 「讓我們來一起解決這...,連載,10
446,殭屍世界我最強，但贏不過這孩子,奇幻 冒險 異能 戀愛 後宮 歡樂向,14.7萬,在瀕臨滅亡的日本，與可愛的後輩一起度過喪屍倖存戰！ 突如其來的喪屍恐慌。當人們四散逃跑時，高中生幸坂優真終於被喪屍咬...,連載,9.6
447,香格里拉邊境 ～糞作獵人向神作...,遊戲 戰鬥 校園 戀愛 歡樂向,219.8萬,倘若說世上存在有一百部神作，那麼屎作的數目便是其十倍之多。 Bug、Error、模型崩壞、自相矛盾的劇本……陰影覆蓋於這類大眾...,連載,9.7
448,太宰治轉生！,穿越 戀愛 歡樂向,21.4萬,太宰治轉生！ 轉世重生，我很抱歉 那位太宰治，偏偏轉生到了現代日本！ 活在當下的太宰對現代社會與人獻上猛烈的諷刺與讚...,完結,9.7
449,螺旋槳歌劇,奇幻 冒險 戰鬥,62.8萬,巨大的飛行戰艦統治世界的時代，是戰而亡，還是不戰而亡。留給小國的只有滅亡的選項 遠東的島國日之雄。其皇族第一公主以...,完結,9.8
450,緋彈的亞莉亞,科幻 懸疑 校園 戰鬥 後宮 青梅竹馬,471.1萬,東京武偵高中是一所專門培育武力偵探──通稱「武偵」的特殊學校。偵探科二年級的遠山金次擁有某種神秘體質，在「某種契機下」...,連載,9.8
451,英雄王，為了窮盡武道而轉生～...,穿越 奇幻 戰鬥 ,85.2萬,建國的英雄王（♂）→轉生→最強見習騎士（♀）！？ 受到女神加護成為『神騎士』，建立巨大王國的偉大英雄王──英格利斯，一直為...,連載,9.2
452,旋風管家,校園 歡樂向 後宮 大小姐 ,22.6萬,故事講述了公立高中一年級生的綾崎颯，因其父母性格懶散，使得他不得不每天都打工養家。 聖誕夜，回到家中的綾崎颯發現父母...,連載,9.9
453,七魔劍支配天下,奇幻 校園 魔法 戰鬥 復仇,165.7萬,春天──名校金伯利魔法學校今年也有新生入學。 他們身穿黑色長袍，將白杖與杖劍扠在腰間，內心懷抱著驕傲與使命。 迎接這些...,連載,9.8
454,奧莉薇亞被♡就會死 ～老爺，你...,異世界 戀愛 女性視角 歡樂向,5萬,17歲的奧莉薇亞・亞榭爾為了金錢，為了家族而正要叩響惡名昭彰的艾普特夫特妓館的大門時，被兩個衣冠楚楚的紳士叫住了。 『...,完結,10
455,關於能看見好感度後，發現女主...,校園 歡樂向 青春 戀愛 後宮,17.5萬,高中生桐崎冬馬被粉紅色蚊子叮咬後，變得能看見「他人對自己的好感度」。一般而言，點頭之交的好感度是30，朋友則是70。然而...,連載,9.9
456,三坪房間的侵略者！？,奇幻 戰鬥 歡樂向 後宮 人外,480.4萬,幽靈、扮裝少女、地底人、外星人，再加上武藝高強的房東，這就是圍繞在高一新生里見孝太郎身邊的美少女軍團。 不過可別以為...,連載,10
457,黃金的經驗值,奇幻 冒險 戰鬥 魔法,0萬,主角蕾亞專註於培養精神力狀態，結果得到了隱藏技能「使役」。 那是能夠將成為眷屬的角色所獲得的經驗值， 全部集中到自己...,連載,9.9
458,失去一切の後 我與她的未來,青春 戀愛 ,7.3萬,害死自己的父親，逼走自己的母親 因為愚蠢而失去一切的我本該自我了斷吧 然而看著童年時獨自哭泣的妹妹 我選擇背負罪惡而...,完結,9.4
459,有朝一日，安然長眠,科幻 校園 青春 戀愛 女性視角,7.2萬,高二女生螢在修學旅行途中遭遇車禍，失去了生命。引路人黑黑出現在她面前，告訴她，如果不消除留在這個世界上的三大掛礙，就...,完結,9.8
460,純白殺人魔,科幻 校園 青春 黑暗 群像,8.6萬,好不容易成為普通人── 卻又要再次死去。 學校里流言四起──聽說只要擁有神秘的APP，就可以改變過去。 雖然大家都知道那只...,完結,9.8
461,轉生到病嬌戀♡喜劇遊戲，那可怕..., 後宮 校園 戀愛 病嬌,15.4萬,被病嬌、怪物還有恐怖的妹妹愛著 那一天，當我見到那名少女時，我才意識到，這是一個遊戲世界。 一個以戀愛喜劇為主題，有...,完結,9.7
462,一位女朋友常來我家，每次她和...,校園 青春 戀愛 歡樂向,39.2萬,──只要向那個孩子告白，誰都可以與她交往。 ──她在男朋友和援助交際的人家裡過夜。 每當詢問關於美少女咲里之星夏時，幾...,完結,8.9
463,你以為區區轉生就逃得了嗎，哥哥？,奇幻 轉生 黑暗 病嬌 歡樂向,30.1萬,曾將我囚禁的妹妹，就潛伏在這個世界的某處── 高中畢業後，被妹妹囚禁了整整五年的我，費盡千辛萬苦剛逃了出去，卻馬上被卡...,連載,9.7
464,走不完的黑夜，終將到來的明天。,青春 戀愛,16.5萬,疫情衝擊之後，從國外回鄉的失業中年男性——古宮御，在新的城市找到了新的工作，試著去嘗試彌補他過去所放下的錯誤。但在兒子...,完結,9.7
465,偵探已經，死了。,懸疑 奇幻 異能 冒險 戀愛,112.1萬,知道了世界記憶的君塚一行人，已經做好應對亞伯·A·勛伯格下次襲擊的準備。 在得到巫女米婭·惠特洛克的協助後，《特異點》和...,連載,9.7
466,電波女與青春男（漫畫）,校園 青春 戀愛 歡樂向 後宮 ,0.1萬,「地球被盯上了。」卷著棉被的電波女．藤和艾莉歐如此說。 高中二年級的我轉學到這個奇妙小鎮，在新學校里認識了天然系健康...,完結,9.9
467,說謊的男孩與壞掉的女孩（漫畫）,校園 懸疑 黑暗 青梅竹馬,0萬,十年前發生過綁架事件與殺人事件的這座小鎮——名岐町，如今又再度爆發綁架事件與連續殺人事件。正當小鎮籠罩於如此危險、不安...,完結,10
468,待茶送到の前 ～A Book At Cafe～,群像 青春,0萬,觸動心弦的18篇——在咖啡廳，待茶送到之前的小敘。 你落了座，服務員已經下好了單。你點了你最喜歡的茶，然後，打開這本書。...,完結,10
469,關於我轉生變成史萊姆這檔事,穿越 奇幻 龍傲天 後宮 人外,416.3萬,三上悟過著不起眼的人生，在隨機殺人魔肆虐下結束了三十七年生涯……看似如此。 當他蘇醒時，不僅眼睛看不見，就連耳朵也聽不...,連載,9.1
470,LuoT模特的二三事,戀愛 校園 青春 腦洞 歡樂向,4.9萬,「只要小磊希望，不過是一兩件衣服罷了，我當然可以脫了。」 我和表姐之間有個秘密，她不但是我的表姐，還是我的裸體模特。 ...,連載,9.7
471,得到變態天賦而被趕出王都，但...,奇幻 冒險 戰鬥 戀愛 後宮 歡樂向,9.9萬,在這個世界，一個人的人生會受到名為〈天賦〉的才能所左右。出生於大貴族家系的艾利歐在授予儀式上顯現出下流的天賦〈淫魔〉...,連載,9.8
472,初戀魔法電擊,校園 魔法 戰鬥 歡樂向 後宮 ,111.7萬,初戀。鼓太郎愛上了一位少女，她的名字叫做白鳥祈梨，是一位溫柔、努力，又有點愛哭的女孩。認真的鼓太郎和外表堅強的祈梨，...,連載,9.7
473,我的妹妹哪有這麼可♡！,校園 戀愛 歡樂向 後宮 青梅竹馬 ,0.1萬,我的妹妹高坂桐乃是個超級大美女，而且我這個當哥哥的完全被她瞧不起。 雖然常被友人羨慕，但我真想說「即使有個漂亮的妹妹...,完結,9.7
474,永生者的終末冒險筆記,異世界 戀愛 魔法 戰鬥 冒險,28.7萬,那一日，終焉的魔女重新降臨人間…… 為了讓渣滓們得到應有的懲罰，一無所有的萊特，與魔女簽下永生不滅的契約，踏上復仇的旅...,連載,10
475,中國平梵谷中生轉移典到爆的異...,戀愛 異世界 奇幻 冒險 歡樂向 龍傲天,12.9萬,自古以來，轉移異世界多半都是日本人的特權 可是 「為什麼我在這裡啊！」 面對被卡車創後到達的世界，十五歲的中國高中生...,連載,9.2
476,異世界迷宮最深部為目標,穿越 魔法 戰鬥 懸疑 後宮 病嬌,438萬,「我絕對要救你。只要能救你，我會——！！」 在一個陌生的迴廊中蘇醒的相川渦波遭到了魔物的襲擊，而後遇到一位名叫拉絲緹婭...,連載,9.7
477,與殭屍並行 致我們已經徹底腐爛...,校園 奇幻 青春,8.5萬,憧憬費茲傑羅的大學生藤堂， 由於感染了殭屍病毒而從內臟開始腐敗。 雖然聚集在社團教室的學長等人還是保持一如往常的態度...,完結,10
478,撿走被人悔婚的千金，教會她壞...,奇幻 冒險 歡樂向 戀愛 大小姐,21.4萬,住在森林深處，討厭與人往來的魔法師──亞倫， 不但被稱作「魔王」，周遭的人也都對他感到多有畏懼。 過著隱士生活的他， ...,連載,9.8
479,轉生為故事的黑幕～以進化魔劍...,穿越 奇幻 魔法 冒險,25.3萬,「七英雄傳說」是受到全球玩家熱烈支持的遊戲。 最早破關其續作的大學生──蓮， 轉生到遊戲里，成了嬰兒。 莫非是轉生為「...,連載,9.8
480,玲依的世界 ―Re:I― Another Wor...,科幻 職場 音樂 女性視角,12.8萬,雪野玲依是隸屬於有栖川演藝經紀公司的15歲少女。 她立志成為歌手和演員，每天為此努力不懈，但接到的工作總是有些奇怪。 ...,連載,10
481,一點都不想相親的我設下高門檻...,校園 青春 戀愛 歡樂向,55.2萬,高中生高瀨川由弦，對逼他去相親的祖父提出了「如果對方是金髮碧眼白皮膚的美少女來，我就考慮看看」這種高門檻要求。幾天後...,連載,9.8
482,差點在迷宮深處被信任的夥伴殺...,奇幻 冒險 復仇 龍傲天 後宮,45.4萬,這個世界裡，人類被視為劣等種。冒險者小隊「種族會」中負責扛行李的人類少年•萊特，在世界最兇險的迷宮「奈落」深處遭夥伴放...,連載,8.5
483,安達與島村,校園 青春 戀愛 女性視角,103.2萬,高一女學生安達與島村是好朋友，她們總是膩在一起聊天，偶爾打撞球，培育著名為友情的情感。 然而某天夜晚，安達夢見自己和...,連載,9.9
484,造成我心理陰影的女生們今天也...,校園 青春 戀愛 後宮 歡樂向 青梅竹馬,54.4萬,★萬人矚目，讀者拚命敲碗催促中文版出書的新刊。 ★帶點焦躁與糾結，日本好評不斷的優秀作品。 我──九重雪兔，從以前女人...,連載,9.8
485,電子腦葉,科幻 青春 戀愛,12.5萬,2081年日本·京都。 信息憂鬱症，是日本這個超信息化社會的災難級心理疾病，許多民眾因此走上自殺一途。科學家道終常一企圖改...,完結,9.9
486,你好，世界（HELLO WORLD）,科幻 青春 戀愛,10萬,即使世界毀滅，我也想再見你一面！ 夏日的京都，十六歲的直實遇到了人生的初戀，卻因為害羞而不敢表達。 一天，十年後的自...,完結,9.9
487,雨港基隆（小說）,青春 戀愛,39.6萬,我們的歷史，是他們的愛戀── 接手茶坊生意的茶商女兒張曉瑜， 在種種因緣際會裡， 重逢了幼時曾互有約定的青年，李肇維...,完結,9.7
488,黃金的經驗值,遊戲 冒險 女性視角,5.2萬,最強的眷屬們──如果將這些經驗值集中到一個人身上，會不會創下史上最快誕生魔王的紀錄!? 黃金的經驗值 特定災害生物「魔王」...,連載,9.8
489,待夜送到の前 ～A Book in Bed～,群像 青春,0萬,觸動心弦的25篇——睡前的小敘。 過去有一個男孩和一個女孩，他們喜歡跑到住在隔壁的老奶奶家玩，在夜晚來臨前的短暫時光中，...,完結,10
